GC,title,nospace,url,lat,lon,country,province/state,county,numfinds,numpages
GC89436,KK29 - NS Kayak,kk29-ns-kayak,https://www.geocaching.com/geocache/GC89436_kk29-ns-kayak,N 45° 00.288,W 064° 20.192,Canada,Nova Scotia,Kings (Nova Scotia),27,2
GC894RJ,KK40 - NS Kayak,kk40-ns-kayak,https://www.geocaching.com/geocache/GC894RJ_kk40-ns-kayak,N 44° 59.894,W 064° 19.606,Canada,Nova Scotia,Kings (Nova Scotia),25,2
GC894RM,KK41 - NS Kayak,kk41-ns-kayak,https://www.geocaching.com/geocache/GC894RM_kk41-ns-kayak,N 44° 59.754,W 064° 19.915,Canada,Nova Scotia,Kings (Nova Scotia),25,2
GC894RN,KK42 - NS Kayak,kk42-ns-kayak,https://www.geocaching.com/geocache/GC894RN_kk42-ns-kayak,N 44° 59.540,W 064° 20.327,Canada,Nova Scotia,Kings (Nova Scotia),26,2
GC8A4ZB,Spygirl42 Visits Bridgewater Nova Scotia,spygirl42-visits-bridgewater-nova-scotia,https://www.geocaching.com/geocache/GC8A4ZB_spygirl42-visits-bridgewater-nova-scotia,N 44° 22.769,W 064° 30.952,Canada,Nova Scotia,Lunenburg,1,1
GC8A809,"Valley Cachers' Meet & Greet - July, 2019",valley-cachers-meet-greet-july-2019,https://www.geocaching.com/geocache/GC8A809_valley-cachers-meet-greet-july-2019,N 45° 04.096,W 064° 26.555,Canada,Nova Scotia,Kings (Nova Scotia),12,1
GC8AMXJ,New Road Cache 1,new-road-cache-1,https://www.geocaching.com/geocache/GC8AMXJ_new-road-cache-1,N 45° 02.175,W 064° 51.625,Canada,Nova Scotia,Kings (Nova Scotia),6,1
GC8AWVN,Baxters Harbour - A Basalt Sea Arch,baxters-harbour-a-basalt-sea-arch,https://www.geocaching.com/geocache/GC8AWVN_baxters-harbour-a-basalt-sea-arch,N 45° 13.889,W 064° 30.754,Canada,Nova Scotia,Kings (Nova Scotia),1,1
GC8AXFA,The Guzzle and Boot Island,the-guzzle-and-boot-island,https://www.geocaching.com/geocache/GC8AXFA_the-guzzle-and-boot-island,N 45° 08.222,W 064° 17.314,Canada,Nova Scotia,Kings (Nova Scotia),1,1
GC8AXVY,Grand Pre Marsh,grand-pre-marsh,https://www.geocaching.com/geocache/GC8AXVY_grand-pre-marsh,N 45° 08.026,W 064° 18.859,Canada,Nova Scotia,Kings (Nova Scotia),1,1
GC1A17,Charlottetown Memories,charlottetown-memories,https://www.geocaching.com/geocache/GC1A17_charlottetown-memories,N 46° 15.359,W 063° 10.314,Canada,Prince Edward Island,Queens (Prince Edward Island),901,61
GC6B1C,The Ancient path,the-ancient-path,https://www.geocaching.com/geocache/GC6B1C_the-ancient-path,N 45° 57.751,W 062° 46.921,Canada,Prince Edward Island,Queens (Prince Edward Island),295,20
GC6C05,First Post - Charlottetown,first-post-charlottetown,https://www.geocaching.com/geocache/GC6C05_first-post-charlottetown,N 46° 13.990,W 063° 07.995,Canada,Prince Edward Island,Queens (Prince Edward Island),699,47
GC70A6,Natural Water Slide,natural-water-slide,https://www.geocaching.com/geocache/GC70A6_natural-water-slide,N 46° 22.711,W 062° 06.457,Canada,Prince Edward Island,Kings (Prince Edward Island),52,4
GC73F8,Quest for Pendragonred,quest-for-pendragonred,https://www.geocaching.com/geocache/GC73F8_quest-for-pendragonred,N 45° 58.180,W 062° 46.390,Canada,Prince Edward Island,Queens (Prince Edward Island),1,1
GC7586,Got Drenched in Victoria Park (New Location),got-drenched-in-victoria-park-new-location,https://www.geocaching.com/geocache/GC7586_got-drenched-in-victoria-park-new-location,N 46° 13.674,W 063° 08.533,Canada,Prince Edward Island,Queens (Prince Edward Island),99,7
GC7B24,Pomroy Murray's Breadalbane,pomroy-murrays-breadalbane,https://www.geocaching.com/geocache/GC7B24_pomroy-murrays-breadalbane,N 46° 21.292,W 063° 29.401,Canada,Prince Edward Island,Queens (Prince Edward Island),95,7
GC7C82,Elevation Zero,elevation-zero,https://www.geocaching.com/geocache/GC7C82_elevation-zero,N 46° 30.768,W 063° 29.113,Canada,Prince Edward Island,Queens (Prince Edward Island),606,41
GCB923,Straghbohgie,straghbohgie,https://www.geocaching.com/geocache/GCB923_straghbohgie,N 46° 14.206,W 062° 40.467,Canada,Prince Edward Island,Kings (Prince Edward Island),241,17
GCG4QR,That dam cache,that-dam-cache,https://www.geocaching.com/geocache/GCG4QR_that-dam-cache,N 46° 09.527,W 062° 40.503,Canada,Prince Edward Island,Kings (Prince Edward Island),206,14
GCG9E7,"A ""Bag of hammers""",a-bag-of-hammers,https://www.geocaching.com/geocache/GCG9E7_a-bag-of-hammers,N 46° 11.783,W 062° 34.746,Canada,Prince Edward Island,Kings (Prince Edward Island),45,3
GCGF9X,A KING'S RANSOM,a-kings-ransom,https://www.geocaching.com/geocache/GCGF9X_a-kings-ransom,N 46° 01.338,W 062° 33.684,Canada,Prince Edward Island,Kings (Prince Edward Island),22,2
GCGGC4,PEI Vista,pei-vista,https://www.geocaching.com/geocache/GCGGC4_pei-vista,N 46° 13.035,W 063° 19.991,Canada,Prince Edward Island,Queens (Prince Edward Island),380,26
GCGP4A,Angels on the Water,angels-on-the-water,https://www.geocaching.com/geocache/GCGP4A_angels-on-the-water,N 46° 16.140,W 063° 05.490,Canada,Prince Edward Island,Queens (Prince Edward Island),3,1
GCGQ8C,Cache on the Promenade,cache-on-the-promenade,https://www.geocaching.com/geocache/GCGQ8C_cache-on-the-promenade,N 46° 27.442,W 063° 18.153,Canada,Prince Edward Island,Queens (Prince Edward Island),15,1
GCH29V,Take a break,take-a-break,https://www.geocaching.com/geocache/GCH29V_take-a-break,N 46° 05.420,W 062° 41.300,Canada,Prince Edward Island,Kings (Prince Edward Island),179,12
GCJ7PW,Panmure Head Lighthouse,panmure-head-lighthouse,https://www.geocaching.com/geocache/GCJ7PW_panmure-head-lighthouse,N 46° 08.505,W 062° 28.055,Canada,Prince Edward Island,Kings (Prince Edward Island),324,22
GCJBHX,Point Prim Lighthouse,point-prim-lighthouse,https://www.geocaching.com/geocache/GCJBHX_point-prim-lighthouse,N 46° 03.044,W 063° 02.354,Canada,Prince Edward Island,Queens (Prince Edward Island),292,20
GCJDCE,Cape Bear Lighthouse,cape-bear-lighthouse,https://www.geocaching.com/geocache/GCJDCE_cape-bear-lighthouse,N 46° 00.203,W 062° 27.613,Canada,Prince Edward Island,Kings (Prince Edward Island),351,24
GCJGXB,Wood Islands Lighthouse,wood-islands-lighthouse,https://www.geocaching.com/geocache/GCJGXB_wood-islands-lighthouse,N 45° 57.056,W 062° 44.832,Canada,Prince Edward Island,Queens (Prince Edward Island),224,15
GCJHFB,Adventure of Knowledge,adventure-of-knowledge,https://www.geocaching.com/geocache/GCJHFB_adventure-of-knowledge,N 46° 15.653,W 063° 08.326,Canada,Prince Edward Island,Queens (Prince Edward Island),381,26
GCJHGB,Tay's Treasures,tays-treasures,https://www.geocaching.com/geocache/GCJHGB_tays-treasures,N 46° 11.738,W 063° 03.691,Canada,Prince Edward Island,Queens (Prince Edward Island),59,4
GCJT0Q,4 Islands,4-islands,https://www.geocaching.com/geocache/GCJT0Q_4-islands,N 46° 01.144,W 062° 30.825,Canada,Prince Edward Island,Kings (Prince Edward Island),112,8
GCJT0V,Buffalo Bill's,buffalo-bills,https://www.geocaching.com/geocache/GCJT0V_buffalo-bills,N 46° 06.310,W 062° 36.977,Canada,Prince Edward Island,Kings (Prince Edward Island),181,13
GCJWZK,O'Keefe's Lake monster cache,okeefes-lake-monster-cache,https://www.geocaching.com/geocache/GCJWZK_okeefes-lake-monster-cache,N 46° 14.786,W 062° 48.770,Canada,Prince Edward Island,Queens (Prince Edward Island),145,10
GCK18C,Highlands Cache,highlands-cache,https://www.geocaching.com/geocache/GCK18C_highlands-cache,N 46° 23.592,W 063° 20.368,Canada,Prince Edward Island,Queens (Prince Edward Island),314,21
GCK58N,Little Bungay,little-bungay,https://www.geocaching.com/geocache/GCK58N_little-bungay,N 46° 21.586,W 063° 18.558,Canada,Prince Edward Island,Queens (Prince Edward Island),178,12
GCKBAJ,Nor'Easter,noreaster,https://www.geocaching.com/geocache/GCKBAJ_noreaster,N 46° 27.223,W 061° 58.461,Canada,Prince Edward Island,Kings (Prince Edward Island),51,4
GCKC87,Charlottetowns Big Bang,charlottetowns-big-bang,https://www.geocaching.com/geocache/GCKC87_charlottetowns-big-bang,N 46° 13.672,W 063° 08.270,Canada,Prince Edward Island,Queens (Prince Edward Island),27,2
GCKC8A,Clintons Roadside Cache 12 Yrs Old,clintons-roadside-cache-12-yrs-old,https://www.geocaching.com/geocache/GCKC8A_clintons-roadside-cache-12-yrs-old,N 46° 27.106,W 063° 32.278,Canada,Prince Edward Island,Queens (Prince Edward Island),362,25
GCKCJW,Pause at Pinette,pause-at-pinette,https://www.geocaching.com/geocache/GCKCJW_pause-at-pinette,N 46° 03.324,W 062° 54.683,Canada,Prince Edward Island,Queens (Prince Edward Island),269,18
GCKDMM,The Enchanted Candle,the-enchanted-candle,https://www.geocaching.com/geocache/GCKDMM_the-enchanted-candle,N 46° 12.853,W 063° 29.328,Canada,Prince Edward Island,Queens (Prince Edward Island),90,6
GCKFB5,Pirate's Lookout,pirates-lookout,https://www.geocaching.com/geocache/GCKFB5_pirates-lookout,N 46° 15.142,W 062° 22.656,Canada,Prince Edward Island,Kings (Prince Edward Island),65,5
GCKXQX,Bushwhacking in Bonshaw,bushwhacking-in-bonshaw,https://www.geocaching.com/geocache/GCKXQX_bushwhacking-in-bonshaw,N 46° 12.325,W 063° 21.060,Canada,Prince Edward Island,Queens (Prince Edward Island),96,7
GCMBB9,The Charge,the-charge,https://www.geocaching.com/geocache/GCMBB9_the-charge,N 46° 11.917,W 062° 34.526,Canada,Prince Edward Island,Kings (Prince Edward Island),117,8
GCMYNP,Charlottetown Rural Duck Pond,charlottetown-rural-duck-pond,https://www.geocaching.com/geocache/GCMYNP_charlottetown-rural-duck-pond,N 46° 15.507,W 063° 08.739,Canada,Prince Edward Island,Queens (Prince Edward Island),5,1
GCXTN9,Great White North Geotour - Prince Edward Island,great-white-north-geotour-prince-edward-island,https://www.geocaching.com/geocache/GCXTN9_great-white-north-geotour-prince-edward-island,N 46° 14.006,W 063° 07.255,Canada,Prince Edward Island,Queens (Prince Edward Island),147,10
GCY4MG,Cymbria,cymbria,https://www.geocaching.com/geocache/GCY4MG_cymbria,N 46° 24.589,W 063° 14.811,Canada,Prince Edward Island,Queens (Prince Edward Island),301,21
GCZBVF,"Cache on a Large ""Island""",cache-on-a-large-island,https://www.geocaching.com/geocache/GCZBVF_cache-on-a-large-island,N 46° 16.529,W 063° 07.874,Canada,Prince Edward Island,Queens (Prince Edward Island),141,10
GC11ARZ,"Downtown Geo,town",downtown-geotown,https://www.geocaching.com/geocache/GC11ARZ_downtown-geotown,N 46° 10.908,W 062° 31.974,Canada,Prince Edward Island,Kings (Prince Edward Island),245,17
GC11JAH,Sail Away,sail-away,https://www.geocaching.com/geocache/GC11JAH_sail-away,N 46° 10.806,W 062° 32.028,Canada,Prince Edward Island,Kings (Prince Edward Island),221,15
GC12K8K,CHIPMAN,chipman,https://www.geocaching.com/geocache/GC12K8K_chipman,N 46° 14.924,W 063° 09.590,Canada,Prince Edward Island,Queens (Prince Edward Island),82,6
GC1444D,Brudenell Island,brudenell-island,https://www.geocaching.com/geocache/GC1444D_brudenell-island,N 46° 11.819,W 062° 34.720,Canada,Prince Edward Island,Kings (Prince Edward Island),153,11
GC14EG4,Shed Your Troubles On Governors Island,shed-your-troubles-on-governors-island,https://www.geocaching.com/geocache/GC14EG4_shed-your-troubles-on-governors-island,N 46° 08.249,W 063° 03.364,Canada,Prince Edward Island,Queens (Prince Edward Island),6,1
GC152MD,PANMURE ISLAND,panmure-island,https://www.geocaching.com/geocache/GC152MD_panmure-island,N 46° 07.998,W 062° 29.526,Canada,Prince Edward Island,Kings (Prince Edward Island),167,12
GC15J3W,An Island on an Island,an-island-on-an-island,https://www.geocaching.com/geocache/GC15J3W_an-island-on-an-island,N 46° 22.630,W 063° 01.366,Canada,Prince Edward Island,Queens (Prince Edward Island),32,3
GC1724T,WWFM- Spud Island,wwfm-spud-island,https://www.geocaching.com/geocache/GC1724T_wwfm-spud-island,N 46° 13.595,W 063° 13.128,Canada,Prince Edward Island,Queens (Prince Edward Island),10,1
GC1EACB,Ghoulies and Ghosties #5 - Kingsboro,ghoulies-and-ghosties-5-kingsboro,https://www.geocaching.com/geocache/GC1EACB_ghoulies-and-ghosties-5-kingsboro,N 46° 24.314,W 062° 05.167,Canada,Prince Edward Island,Kings (Prince Edward Island),139,10
GC1FVNB,Island Tribute: Challenge Series,island-tribute-challenge-series,https://www.geocaching.com/geocache/GC1FVNB_island-tribute-challenge-series,N 46° 31.866,W 063° 32.599,Canada,Prince Edward Island,Queens (Prince Edward Island),37,3
GC1GX27,By the High Point,by-the-high-point,https://www.geocaching.com/geocache/GC1GX27_by-the-high-point,N 46° 19.877,W 063° 25.148,Canada,Prince Edward Island,Queens (Prince Edward Island),54,4
GC1JCWC,Spud Island Post,spud-island-post,https://www.geocaching.com/geocache/GC1JCWC_spud-island-post,N 46° 17.767,W 063° 09.315,Canada,Prince Edward Island,Queens (Prince Edward Island),197,14
GC1MZEH,Island Cachers CITO,island-cachers-cito,https://www.geocaching.com/geocache/GC1MZEH_island-cachers-cito,N 46° 17.568,W 063° 09.861,Canada,Prince Edward Island,Queens (Prince Edward Island),7,1
GC1P1F7,Geo'town Points East,geotown-points-east,https://www.geocaching.com/geocache/GC1P1F7_geotown-points-east,N 46° 10.773,W 062° 31.884,Canada,Prince Edward Island,Kings (Prince Edward Island),151,11
GC1RT88,Seinfeld is Back!,seinfeld-is-back,https://www.geocaching.com/geocache/GC1RT88_seinfeld-is-back,N 46° 19.400,W 063° 24.500,Canada,Prince Edward Island,Queens (Prince Edward Island),38,3
GC1XFWD,Brackley Commons,brackley-commons,https://www.geocaching.com/geocache/GC1XFWD_brackley-commons,N 46° 17.612,W 063° 08.322,Canada,Prince Edward Island,Queens (Prince Edward Island),157,11
GC1ZE8F,Island Cache King One,island-cache-king-one,https://www.geocaching.com/geocache/GC1ZE8F_island-cache-king-one,N 46° 26.232,W 063° 24.117,Canada,Prince Edward Island,Queens (Prince Edward Island),152,11
GC1ZE8T,Island Cache King two,island-cache-king-two,https://www.geocaching.com/geocache/GC1ZE8T_island-cache-king-two,N 46° 26.442,W 063° 24.210,Canada,Prince Edward Island,Queens (Prince Edward Island),170,12
GC1ZE8Y,Island Cache King Three,island-cache-king-three,https://www.geocaching.com/geocache/GC1ZE8Y_island-cache-king-three,N 46° 26.640,W 063° 24.254,Canada,Prince Edward Island,Queens (Prince Edward Island),148,10
GC1ZE96,Island Cache King Four,island-cache-king-four,https://www.geocaching.com/geocache/GC1ZE96_island-cache-king-four,N 46° 26.730,W 063° 24.313,Canada,Prince Edward Island,Queens (Prince Edward Island),157,11
GC1ZE98,Island Cache King Five,island-cache-king-five,https://www.geocaching.com/geocache/GC1ZE98_island-cache-king-five,N 46° 27.013,W 063° 24.436,Canada,Prince Edward Island,Queens (Prince Edward Island),159,11
GC1ZE9D,Island Cache King Six,island-cache-king-six,https://www.geocaching.com/geocache/GC1ZE9D_island-cache-king-six,N 46° 27.225,W 063° 24.513,Canada,Prince Edward Island,Queens (Prince Edward Island),180,12
GC222VD,"Island ""Ice Walk"" Frosty Foot Event",island-ice-walk-frosty-foot-event,https://www.geocaching.com/geocache/GC222VD_island-ice-walk-frosty-foot-event,N 46° 27.239,W 063° 34.175,Canada,Prince Edward Island,Queens (Prince Edward Island),5,1
GC22ZXP,“Cow” I Scream!,“cow”-i-scream,https://www.geocaching.com/geocache/GC22ZXP_“cow”-i-scream,N 46° 15.545,W 063° 10.750,Canada,Prince Edward Island,Queens (Prince Edward Island),685,46
GC25NX4,On the path to Enlightement,on-the-path-to-enlightement,https://www.geocaching.com/geocache/GC25NX4_on-the-path-to-enlightement,N 46° 15.261,W 063° 08.417,Canada,Prince Edward Island,Queens (Prince Edward Island),158,11
GC272PY,STOP! on the Charles Road,stop-on-the-charles-road,https://www.geocaching.com/geocache/GC272PY_stop-on-the-charles-road,N 46° 12.468,W 063° 17.815,Canada,Prince Edward Island,Queens (Prince Edward Island),94,7
GC2AKR7,Wanted: Dead or Alive,wanted-dead-or-alive,https://www.geocaching.com/geocache/GC2AKR7_wanted-dead-or-alive,N 46° 21.579,W 063° 20.563,Canada,Prince Edward Island,Queens (Prince Edward Island),45,3
GC2AWKM,Stuck on St.Peters Island,stuck-on-stpeters-island,https://www.geocaching.com/geocache/GC2AWKM_stuck-on-stpeters-island,N 46° 07.156,W 063° 11.618,Canada,Prince Edward Island,Queens (Prince Edward Island),37,3
GC2B508,Resting with a View,resting-with-a-view,https://www.geocaching.com/geocache/GC2B508_resting-with-a-view,N 46° 10.374,W 063° 22.217,Canada,Prince Edward Island,Queens (Prince Edward Island),101,7
GC2C501,You're Not Alone Anymore,youre-not-alone-anymore,https://www.geocaching.com/geocache/GC2C501_youre-not-alone-anymore,N 46° 06.962,W 063° 11.768,Canada,Prince Edward Island,Queens (Prince Edward Island),38,3
GC2C8DQ,Thorns and mosquitos a plenty,thorns-and-mosquitos-a-plenty,https://www.geocaching.com/geocache/GC2C8DQ_thorns-and-mosquitos-a-plenty,N 46° 06.866,W 063° 11.372,Canada,Prince Edward Island,Queens (Prince Edward Island),33,3
GC2DK87,It's My 25th,its-my-25th,https://www.geocaching.com/geocache/GC2DK87_its-my-25th,N 46° 13.599,W 063° 13.147,Canada,Prince Edward Island,Queens (Prince Edward Island),248,17
GC2DNGV,Island Quest,island-quest,https://www.geocaching.com/geocache/GC2DNGV_island-quest,N 46° 07.948,W 063° 13.392,Canada,Prince Edward Island,Queens (Prince Edward Island),44,3
GC2ENWE,Whale Of A Tale - Golfing,whale-of-a-tale-golfing,https://www.geocaching.com/geocache/GC2ENWE_whale-of-a-tale-golfing,N 46° 24.905,W 063° 14.814,Canada,Prince Edward Island,Queens (Prince Edward Island),105,7
GC2EP51,We Are Legion!,we-are-legion,https://www.geocaching.com/geocache/GC2EP51_we-are-legion,N 46° 12.976,W 063° 17.635,Canada,Prince Edward Island,Queens (Prince Edward Island),149,10
GC2FD1Y,"Hey, TO (Toronto), Can You Hear Me Now?",hey-to-toronto-can-you-hear-me-now,https://www.geocaching.com/geocache/GC2FD1Y_hey-to-toronto-can-you-hear-me-now,N 46° 27.242,W 063° 22.297,Canada,Prince Edward Island,Queens (Prince Edward Island),206,14
GC2G0YM,Confederation Landing,confederation-landing,https://www.geocaching.com/geocache/GC2G0YM_confederation-landing,N 46° 13.898,W 063° 07.247,Canada,Prince Edward Island,Queens (Prince Edward Island),1416,95
GC2G65N,View From Trout River Bridge,view-from-trout-river-bridge,https://www.geocaching.com/geocache/GC2G65N_view-from-trout-river-bridge,N 46° 25.180,W 063° 26.340,Canada,Prince Edward Island,Queens (Prince Edward Island),91,7
GC2G66G,The Island's Smallest Guardrail?,the-islands-smallest-guardrail,https://www.geocaching.com/geocache/GC2G66G_the-islands-smallest-guardrail,N 46° 05.343,W 062° 48.096,Canada,Prince Edward Island,Queens (Prince Edward Island),86,6
GC2K71Q,A Prince and a Gentleman,a-prince-and-a-gentleman,https://www.geocaching.com/geocache/GC2K71Q_a-prince-and-a-gentleman,N 46° 23.602,W 063° 26.721,Canada,Prince Edward Island,Queens (Prince Edward Island),60,4
GC2T850,{_^_} (the Cache formerly known as Prince),^-the-cache-formerly-known-as-prince,https://www.geocaching.com/geocache/GC2T850_^-the-cache-formerly-known-as-prince,N 46° 23.732,W 063° 27.083,Canada,Prince Edward Island,Queens (Prince Edward Island),60,4
GC2T85F,Prince (the cache formerly known as {_^_} ),prince-the-cache-formerly-known-as-^-,https://www.geocaching.com/geocache/GC2T85F_prince-the-cache-formerly-known-as-^-,N 46° 23.778,W 063° 27.226,Canada,Prince Edward Island,Queens (Prince Edward Island),60,4
GC2TX3V,Woodlands Blvd,woodlands-blvd,https://www.geocaching.com/geocache/GC2TX3V_woodlands-blvd,N 46° 13.697,W 063° 11.925,Canada,Prince Edward Island,Queens (Prince Edward Island),40,3
GC2W0A0,# 28 HMCS Assiniboine: Coastal Ghosts series,#NAME?,https://www.geocaching.com/geocache/GC2W0A0_-28-hmcs-assiniboine-coastal-ghosts-series,N 46° 24.753,W 062° 03.256,Canada,Prince Edward Island,Kings (Prince Edward Island),100,7
GC2W0D8,# 31 Gracie Darling : Coastal Ghosts series,#NAME?,https://www.geocaching.com/geocache/GC2W0D8_-31-gracie-darling-coastal-ghosts-series,N 46° 08.649,W 062° 27.981,Canada,Prince Edward Island,Kings (Prince Edward Island),153,11
GC2W0FJ,# 35 : Fairy Queen : Coastal Ghosts series,#NAME?,https://www.geocaching.com/geocache/GC2W0FJ_-35-fairy-queen-coastal-ghosts-series,N 45° 56.992,W 062° 44.729,Canada,Prince Edward Island,Queens (Prince Edward Island),388,26
GC2W0JJ,# 41 Edward Hall : Coastal Ghosts series,#NAME?,https://www.geocaching.com/geocache/GC2W0JJ_-41-edward-hall-coastal-ghosts-series,N 46° 11.368,W 063° 07.810,Canada,Prince Edward Island,Queens (Prince Edward Island),72,5
GC2Y8ET,Treasure Island Cache,treasure-island-cache,https://www.geocaching.com/geocache/GC2Y8ET_treasure-island-cache,N 46° 11.827,W 063° 20.967,Canada,Prince Edward Island,Queens (Prince Edward Island),12,1
GC2ZBBH,War Prince,war-prince,https://www.geocaching.com/geocache/GC2ZBBH_war-prince,N 46° 23.336,W 063° 25.463,Canada,Prince Edward Island,Queens (Prince Edward Island),56,4
GC31963,crapaud cachin',crapaud-cachin,https://www.geocaching.com/geocache/GC31963_crapaud-cachin,N 46° 14.350,W 063° 29.939,Canada,Prince Edward Island,Queens (Prince Edward Island),63,5
GC341NC,Crazyskunk's Challenge #1 - My Calendar is full,crazyskunks-challenge-1-my-calendar-is-full,https://www.geocaching.com/geocache/GC341NC_crazyskunks-challenge-1-my-calendar-is-full,N 46° 18.790,W 063° 08.939,Canada,Prince Edward Island,Queens (Prince Edward Island),78,6
GC341W6,Crazyskunk's Challenge #3 - Eat your Veggies,crazyskunks-challenge-3-eat-your-veggies,https://www.geocaching.com/geocache/GC341W6_crazyskunks-challenge-3-eat-your-veggies,N 46° 19.224,W 063° 08.746,Canada,Prince Edward Island,Queens (Prince Edward Island),78,6
GC341XZ,"""Ain't No Rest For The Wicked""",aint-no-rest-for-the-wicked,https://www.geocaching.com/geocache/GC341XZ_aint-no-rest-for-the-wicked,N 46° 19.554,W 063° 07.942,Canada,Prince Edward Island,Queens (Prince Edward Island),54,4
GC351HH,Git Yer Shoppin' Dun - C&BB 2,git-yer-shoppin-dun-cbb-2,https://www.geocaching.com/geocache/GC351HH_git-yer-shoppin-dun-cbb-2,N 46° 16.077,W 063° 08.865,Canada,Prince Edward Island,Queens (Prince Edward Island),333,23
GC35NCT,Chemistry Cache,chemistry-cache,https://www.geocaching.com/geocache/GC35NCT_chemistry-cache,N 46° 15.281,W 063° 08.255,Canada,Prince Edward Island,Queens (Prince Edward Island),188,13
GC39JJA,MRTCT 1: Butterfly Kisses,mrtct-1-butterfly-kisses,https://www.geocaching.com/geocache/GC39JJA_mrtct-1-butterfly-kisses,N 46° 00.401,W 062° 34.768,Canada,Prince Edward Island,Kings (Prince Edward Island),62,5
GC39JJJ,MRTCT 2:Train Disaster,mrtct-2train-disaster,https://www.geocaching.com/geocache/GC39JJJ_mrtct-2train-disaster,N 46° 00.344,W 062° 34.645,Canada,Prince Edward Island,Kings (Prince Edward Island),49,4
GC39JJT,MRTCT 3: A DAM OF A CACHE,mrtct-3-a-dam-of-a-cache,https://www.geocaching.com/geocache/GC39JJT_mrtct-3-a-dam-of-a-cache,N 46° 00.259,W 062° 34.607,Canada,Prince Edward Island,Kings (Prince Edward Island),79,6
GC39JK0,MRTCT 4: Four Sisters,mrtct-4-four-sisters,https://www.geocaching.com/geocache/GC39JK0_mrtct-4-four-sisters,N 46° 00.205,W 062° 34.409,Canada,Prince Edward Island,Kings (Prince Edward Island),79,6
GC39JK5,MRTCT 5: Triplets,mrtct-5-triplets,https://www.geocaching.com/geocache/GC39JK5_mrtct-5-triplets,N 46° 00.217,W 062° 34.278,Canada,Prince Edward Island,Kings (Prince Edward Island),74,5
GC39JKB,MRTCT 6: Wedgie,mrtct-6-wedgie,https://www.geocaching.com/geocache/GC39JKB_mrtct-6-wedgie,N 46° 00.211,W 062° 34.130,Canada,Prince Edward Island,Kings (Prince Edward Island),77,6
GC39JKJ,MRTCT 7: Don't Forget To Stop,mrtct-7-dont-forget-to-stop,https://www.geocaching.com/geocache/GC39JKJ_mrtct-7-dont-forget-to-stop,N 46° 00.238,W 062° 33.892,Canada,Prince Edward Island,Kings (Prince Edward Island),74,5
GC39NHK,HFTCT 1: Off the Trail,hftct-1-off-the-trail,https://www.geocaching.com/geocache/GC39NHK_hftct-1-off-the-trail,N 45° 59.711,W 062° 42.599,Canada,Prince Edward Island,Queens (Prince Edward Island),59,4
GC39NHR,HFTCT 2: There be beavers,hftct-2-there-be-beavers,https://www.geocaching.com/geocache/GC39NHR_hftct-2-there-be-beavers,N 45° 59.683,W 062° 42.825,Canada,Prince Edward Island,Queens (Prince Edward Island),54,4
GC39NHW,HFTCT 3: Mess of Trees,hftct-3-mess-of-trees,https://www.geocaching.com/geocache/GC39NHW_hftct-3-mess-of-trees,N 45° 59.681,W 062° 42.972,Canada,Prince Edward Island,Queens (Prince Edward Island),58,4
GC39NJ0,HFTCT 4: Fenced in,hftct-4-fenced-in,https://www.geocaching.com/geocache/GC39NJ0_hftct-4-fenced-in,N 45° 59.681,W 062° 43.135,Canada,Prince Edward Island,Queens (Prince Edward Island),58,4
GC39NJ3,HFTCT 5: Deadfall,hftct-5-deadfall,https://www.geocaching.com/geocache/GC39NJ3_hftct-5-deadfall,N 45° 59.692,W 062° 43.297,Canada,Prince Edward Island,Queens (Prince Edward Island),41,3
GC39NJ5,HFTCT :6 A Nano in the Woods,hftct-6-a-nano-in-the-woods,https://www.geocaching.com/geocache/GC39NJ5_hftct-6-a-nano-in-the-woods,N 45° 59.730,W 062° 43.457,Canada,Prince Edward Island,Queens (Prince Edward Island),46,4
GC39P80,MRTCT :8 Down the Bank,mrtct-8-down-the-bank,https://www.geocaching.com/geocache/GC39P80_mrtct-8-down-the-bank,N 46° 00.486,W 062° 34.877,Canada,Prince Edward Island,Kings (Prince Edward Island),77,6
GC39P88,MRTCT 9: Brothers,mrtct-9-brothers,https://www.geocaching.com/geocache/GC39P88_mrtct-9-brothers,N 46° 00.549,W 062° 35.008,Canada,Prince Edward Island,Kings (Prince Edward Island),73,5
GC39P8D,MRTCT 10: The Ant Bully,mrtct-10-the-ant-bully,https://www.geocaching.com/geocache/GC39P8D_mrtct-10-the-ant-bully,N 46° 00.572,W 062° 35.157,Canada,Prince Edward Island,Kings (Prince Edward Island),41,3
GC39P8K,MRTCT 11: Whats in your Wallet?,mrtct-11-whats-in-your-wallet,https://www.geocaching.com/geocache/GC39P8K_mrtct-11-whats-in-your-wallet,N 46° 00.607,W 062° 35.305,Canada,Prince Edward Island,Kings (Prince Edward Island),71,5
GC39P8X,MRTCT 12:Dead but not Buried here,mrtct-12dead-but-not-buried-here,https://www.geocaching.com/geocache/GC39P8X_mrtct-12dead-but-not-buried-here,N 46° 00.637,W 062° 35.534,Canada,Prince Edward Island,Kings (Prince Edward Island),75,5
GC39P95,MRTCT 13:Three Stooges,mrtct-13three-stooges,https://www.geocaching.com/geocache/GC39P95_mrtct-13three-stooges,N 46° 00.670,W 062° 35.691,Canada,Prince Edward Island,Kings (Prince Edward Island),78,6
