GC,lon,lat,type,Description
GC3E70M,37.19938,-80.00227,Type.multicache,you already have the left half of the magic scarab now find the right half to discover the coordinates of the cave of wonders cache the original cache was stolen by gazeem or lagonot sure which but now there is a new container in a different area surrounding the cave you really dont want to enter the doorway you see only the diamondintherough can enter safely once you find the container be mindful to return it to exactly its situation where you found it otherwise gazeem will get it too dont worry about the lamp aladdin already took it and he is flying away with jasmin and abu on the magic carpet anyway the genie of the lamp is now free muggle heavy where the scarab is found at stage 1 the final cache area has some muggles on wheels depending upon time of day there is some moderate rock climbing required so bring appropriate shoes not flip flops etc and a walking stick is highly recommended for stability the leaves here can be slippery as well this area is not for children or the infirm due to fall risk
GC3HH9C,37.2466,-93.00908,Type.traditional,the signal bounced around a bit so when you are standing between to very shapely cedarsyou are in the right spot this particular rock was of interest to me because you can see where the erosion of the water runoff has started to make little columns on the edges of the rock interesting yes especially if it were on a much grander scale but you know whattoo often the little things in life are overlooked due to the expectation of bigger and grander things
GC2YA34,41.2525,-76.94185,Type.multicache,in the ages between the rule of the dragons and the era of the sorcerers foul smelly mean things were born in the bowels of the earth after generations of warring with each other the smarter ones found a way to get to the surface and were excited to know that humans were very unlikely to compete with them for superiority of the earth out of the earths cracks and crevices came an almost unending stream of what came to be known as giants ogres and trolls what help i can give you is little compared to what you will need in order to overcome them in your quest you must become vigilant wary quiet unwavering quick and smart those qualities will stand you in good stead while you test your mettle against giants ogres and trolls currently it is not known how many you will need to best in order to reach superiority over them they do not respect anything except someone or something stronger than themselves that is their lone weakness you can trick them fool them outbargain them and snare them use all the resources at your command do not contest with them one on one unless you are sure you can best them by brain power their strength is beyond that of any mortal man wear armor if you have it i dont have much hope for your success unless you travel in groups that will give you the best chance of overcoming them i will share treasures i have taken from the ones that i have bested with you as the ftf first to conquer treasure to the champion honor to the pure of heart anonymous 10273 read about the following if you want to get into the mood the giants fafner and fasolt seize freyja in arthur rackhams illustration of richard wagners der ring des nibelungen
GC2724H,44.6222,-65.01312,Type.traditional,this series of caches is placed along old liverpool road and halfway road in annapolis county caches range from a bison tube to a large peanut butter jar some cammoed some not and almost all are park and grabs old liverpool road begins just off west dalhousie road near where it meets highway 10 it starts as a fairly good country road deteriorates to a rough county road and improves again halfway road is a twolane dirt road that meets up with lake pleasant road near where it meets highway 10 in springfield the circuit took us approximately 25 hours to complete keeping in mind that we placed caches all along the way a special thanks to fv for providing many of the caching containers that we used today
GC17VB0,36.21143,-84.07628,Type.traditional,this is an easy cache to get to except the last 10 or so yards is real difficult located near norris tennessee along the 32 mile long river bluff trail loop trail this trail is moderately difficult good walking bootsshoes and water bottle is recommended cave or no cave river bluff tva small wild area on the norris dam reservation near norris tennessee the trail is a moderately difficult 32mile loop to reach the river bluff trailhead take the lake city exit 128 off interstate 75 north of knoxville go south on us highway 441 norris freeway about threefourths mile past the norris dam state park entrance on the left turn right on dabney road as soon as you turn right the road splits go to the left and parking is available on the right about half way down parking cords is n 36deg 13227 w 84deg 05706 in the summer months it could be hard to get good lock with your gps because of tree coverage just follow the trail and think about the name of the cache sorry that was a hint cache you are looking for a medium sized ammo box with several military items there is also a disposable camera for fellow geocachers to take pictures with and when all pictures are taken i will post them on the website whoever is the last person to take the last pic please email me and i will get the pictures developed there is also a waterproof log book please sign and place as you found it or better this is my first cache that i have placed and i give a big thanks to my brotherinlaw wallyboy01 in texas for supplying the ammo box good luck and enjoy the hike
GC1PN2Y,36.57897,-82.22547,Type.earthcache,the coordinates above will take you to this cool geologic feature you see below so what is a rock house you might ask rock houses are formed in sedimentary rock when water leaks through the horizontal joints running parallel to the cliff face in the cold months this water freezes and expands as the water expands it pushes the layers of rock apart thats why if you look in the rock house the rocks you see laying on the ground are in almost perfect geometric shapes a cave on the other hand is natural underground void large enough for a human to enter some people suggest that the term cave should only apply to cavities that have some part which does not receive daylight however in popular usage the term includes smaller spaces like sea caves rock shelters and grottos speleology is the science of exploration and study of all aspects of caves exploring a cave for recreation or science may be called caving potholing or occasionally only in the united states spelunkinga naturally formed opening beneath the surface of the earth generally formed by dissolution of carbonate bedrock caves may also form by erosion of coastal bedrock partial melting of glaciers or solidification of lava into hollow tubes so there you have it what you se infront of in what most people think as a cave but a little diiference of formation makes a new geologic site to visit for most areas in tennessee a fairly limited range of rock types is present in fact of the seven major provinces only the unaka mtns contain nonsedimentary rocks one of the most important influences on a sedimentary rocks resistance to erosion is its quartz content the more quartz a rock contains the more resistant it will be to erosion in tennessee sandstones generally consist mostly of quartz siltstones and shales ie fine grained fg clastics are usually admixtures of quartz and other less resistant minerals limestones ie carbonates of course are composed of calcite which is rather susceptible to chemical weathering however some carbonate rocks do contain a fair amount of quartz especially in the form of chert and can be a bit more resistant to erosion than their more pure relatives in addition the carbonate rock dolomite is generally somewhat more resistant to erosion than limestone another equally important characteristic is how well the grains of a rock are consolidated known as its induration well indurated rocks have either intergrown crystals or the grains are joined together with a lot of intergranular cement most limestones are initially well indurated the induration of sandstones siltstones and shales ie clastics varies from outcrop to outcrop in addition over time weathering may dissolve the cement and weaken the rock quartz cements are very resistant to dissolution calcite cements dissolve rather readily iron oxides and clay minerals are fairly susceptible to chemical alteration as a result of these two factors composition and induration sedimentary rocks display a wide range of susceptibility to erosion generally wellindurated quartz sandstones are the most resistant to erosion likewise limestones and poorly indurated shales are the most susceptible to erosion other sedimentary rock types are a bit more difficult to place within this spectrum for example all else being equal a moderately indurated siltstone would probably be a bit less resistant to erosion than a moderately indurated conglomerate unless the siltstone has quartz cement and the conglomerate has calcite cement then the rates of resistance would be reversed unaka mountains because the bedrock here consists of a variety of igneous and metamorphic rocks it is typically rather resistant to erosion as you might expect some rock types erode more readily than others so significant relief ie rugged topography steep slopes is evident nonetheless however due to 1 resistance of these rocks to erosion 2 uplift associated with the orogenies of the past and 3 subsequent isostatic movements the elevation throughout this area is generally 1000s of feet above sea level note my crosssection transects an area of the unakas with relatively low elevations 2000 ft or so to claim credit for this earthcache you must do the following 1 take a picture of you and your gps at the posted site 2 tell me how high and wide the rock house or cave is 3id one type of sedimentary rock at the site
GC4T4J7,40.3733,-83.6343,Type.earthcache,earthcache requirements all required tasks must be completed in order to earn this earthcache if you submit a log without meeting the requirements your log will be deleted if your log is deleted please resubmit it when the tasks are completed enjoy the journey learning adventure as well as the destination smiley earned take only pictures leave only footprints to get credit for this earthcache complete the following tasks 1 email describe the similarities and differences among the three stages of cave pearl and nest development 2 email choose your favorite formation with a shawnee legend name the formation and briefly describe the legend 3 post in log during your tour you will encounter the imagination room where you name one of the formations post the name of your formation and why you named it thus 4 optional in log posting your picture at the coordinates verifies that you were at the earthcache and is a memorable addition to your log you do not need to wait for confirmation from me to post your log i will email you if you have done an outstanding job including completing all optional activities or if you have not met the requirements to earn your smiley cave pearls pearls are a concentric concretion found in shallow cave pools they can be spherical cylindrical elliptical and even cubical cave pearls form when water dripping into the pool loses carbon dioxide and precipitates calcite this precipitate usually forms around a nucleus of sand bones or fragments of soda straws or rafts the typical roundness is due to the uniform growth of the pearl not to any sort of rotation due to dripping a sphere allows the greatest amount of deposition for the smallest surface area and is thus most likely even if the nucleus is highly irregular the dripping causes vibrations in the pool which may prevent the pearls from cementing with calcite to the pool floor though many pearls are found cemented in sometimes excess precipitate will form cups or nests around the pearls zane shawnee caverns at the beginning of your tour you will view a map of the cave that was handpainted on the wall in the 1930s the average temperature of most caves in the area are in the 50 degree range this cave is colder with temperatures of 4548 degrees there are two distinct seasons within the cave dry and wet during the wet season water can fill the lower passageways rising just below the walkways there is a vein of chert running along the walls of the cave this vein remains untouched chert and flint were used to make arrowheads and create sparks to start fires near the beginning of your tour you will see the original cave opening far above the ceiling visitors were welcome to enter the cave free of charge they were lowered by rope with a lantern for light however they were charged a fee to leave the cave along your journey you will view three levels of formation of cave pearls newly forming fully formed disappearing within the nest toward the end of the tour you will see a pool of water filtered through 120 of rock the water looks shallow due to its clarity however actual depth varies from 16 in front to 810 in back there are only 7 caves worldwide where cave pearls can be seen cave is open all year hours are 96 aproct and 105 novmar there is a fee to take the tour resources <url> <url>
GC6D6K7,40.0629,-81.50193,Type.traditional,this cache is right off larkspur ln there is a nice parking spot but be careful because there is a drop off and no guardrail this cache is small in a water proof container have fun
GCHYWK,38.68992,-86.25535,Type.traditional,this is a medium size cache 2 12 military fuse canister it contains a log book and a few trinkets it is located near the entrance of cave river valley park a state park controlled park but open to the public for a fee at the gate cache is not on park property if you dont visit park take a look below at view into park
GC4HFBR,43.87563,-74.46738,Type.traditional,
GC4J2Z4,36.46605,-81.05198,Type.traditional,this geo is at the entrance of our home away from home it is a fairly easy park and grab cache youre looking for a camo canister with lots of goodies to trade there is a little something for hunters young and old enjoy
GC4169,39.67083,-79.93092,Type.traditional,welcome to cave rock cache gc4169 one of the first geocaches hidden in morgantown on 03112002 welcome to bakers ridge park a west virginia universityowned wooded area located near west run in morgantown wv this area is a reclaimed mining site converted into a recreational area for the community the area also serves as a research facility for the division of forest and natural resources at the university there are dozens of trails scattered throughout the area for hiking and mountain biking along with stellar views of the farm and surrounding landscape please read the appropriate signage and do not interfere with any markers there is no reason to stray too far off the trail to locate this geocache getting started it is imperative that you park at the trailhead this is the only way to access the park i have included a waypoint below to help you find the large dirt lot located directly across the road from the trailhead n 39deg 39936 w 79deg 56412 please be careful crossing west run it can be very busy depending on the time of day there are dozens of trails sprawled throughout the area most of which are not marked on the map i intended to include waymarks of which trail you need to follow to get to gz but after hiking around the area almost all the trails will lead you to where you need to go eventually just keep an eye on your gps and follow the trails accordingly the overall hike will be about 15 miles locating the geocache after following the trails from the parking area you will most likely be on top of ground zero make your way to the base of the rock face and follow your coordinates until you locate the geocache since there will be a lot of signal bounce due to the nearby rocks i have included three spoiler images as well as a detailed hint you are looking for an orange 50cal ammo can tucked in a small crevasse near a protruding pinnacle you will find the cache directly to the right of the wind caves and significantly left of the abandoned cave the cache is not near or in the abandoned cave please do not search there this area is often frequented by muggles so please be sure to replace the cache exactly as you found it happy caching i troopbiz proudly adopted this cache in november of 2020 nearly 185 years after it was originally placed i am excited to continue the legacy of this piece of geocaching history i look forward to hearing about all your adventures in the years to come
GCNR2R,36.53535,-81.96392,Type.traditional,beautiful falls coming down off the mountain steep and slick so watch your step and keep a grip on the ground note updated terrain to 35 cave is near parking at n36 32150 w81 57847 cache is less than 200 ft away but its a good climb up through the water of the falls wet and muddy is a possibility here bring shoes or boots that are either water proof or water shoes cache is coffee can size covered with camo tape hidden so the average muggle wont get to it you the intrepid geocacher will have to take some very careful steps but it can be done ftf honors go to davisclan4 click to visit
GC2DGYF,38.12187,-83.53285,Type.traditional,
GC27KDA,38.11722,-83.53613,Type.earthcache,watersheds a watershed refers to land that is drained by an interconnected system of rivulets streams rivers lakes and groundwater water from a watershed eventually drains into a common destination both rain and snow contribute to the watershed watersheds can range in size from just a few square miles to many hundreds even millions of square miles watersheds are important as habitats for many creatures and as a source of drinking and recreational water for many communities because one watershed can often be connected to another watershed that lies downstream the environmental quality of one watershed can affect other watersheds as more communities rely on watersheds for their drinking water the preservation of watersheds is becoming more urgent to function properly a watershed needs to be maintained in a fairly undisturbed state especially near watercourses this undisturbed habitat helps to keep unwanted pollutants and excess soil and runoff from reaching the water course the preservation of watershed habitats is recognized as a priority by local regional and national governments watershed floods flooding although it usually carries a negative connotation is a natural process and is simply the response of a natural system a river system to the presence of too much water during an interval of time when this happens water must move out of the channel the bed or deeper part and out onto the surrounding area known as the floodplain floods are caused by a variety of factors both natural and manmade some obvious causes of floods are heavy rains melting snow and ice and frequent storms within a short time duration when humans build homes and towns near rivers the result has been the disastrous consequences of floods floods have historically killed more people than any other natural disaster because of this humans have attempted to manage floods using a variety of methods alluvium one positive result of flooding or streams leaving their banks is the deposition of silt clay gravel and organic matter in floodplains this material is called alluvium alluvium results in very fertile soils the licking river floodplain that is now underwater above the dam was fertile farmland resulting from the deposit of alluvium many farmers and residents were displaced when the dam was constructed now the dam prevents flooding of land below the dam which also includes fertile alluvial farmland residing in the floodplain of the river flood intervention hazard assessment because of the potential of a flood to destroy life and property men and women have for centuries developed ways to prepare for and fight this natural disaster one common way to manage floodwaters is to construct dams to stop excess water from inundating dry areas another way is to divert floodwaters away from populated areas to planned areas of flood storage to this end flood control reservoirs are kept partially empty so that they can catch floodwaters when the need arises these reservoirs then release the water at a slower rate than would occur under flood conditions hence reservoirs give the soil time to absorb the excess water about onethird of reservoirs in the united states are used for this purpose flood intervention history of flood control dams around 29502750 bc the ancient egyptians built the first known dam to exist the dam was made of rubble masonry walls on the outsides and filled with 100000 tons of gravel and stone the dam was not watertight and water flowed through the structure quickly eroding it away the second type of dam known to have been built was an earth dam called nimrods dam in mesopotamia around 2000 bc around 100 ad the romans were the first civilization to use concrete and mortar in their gravity dams both of these types of dams were watertight methods of construction the evolution of flood control dams is too extensive to cover here but you get the idea mankind has been using dams for flood control a very long time cave run lake so this earthcache brings you to cave run lake a river runs through it that river is the licking river the head beginning of the river is in magoffin county the mouth of the river empties into the ohio river across from cincinnati early explorers called the river great salt creek because of the many salt licks found along its banks indians called it nepernine salt seeping waters construction of a flood control dam on the river by the louisville district of the corps of engineers began in 1965 and was completed in 1973 the dam was constructed with the primary purpose of flood control but the resulting lake provides an alluring source of recreation as well the dam controls runoff from an 826 square mile drainage area or watershed water is held back by the dam and released gradually so that flooding does not occur downstream there is a good diagram at the posted coordinates showing how this works along with lots of other interesting information when i was a kid living at zilpo upriver from the dam there were times when we could not go to school because floodwaters came across the road i hope you will take time to walk around a bit here to experience and learn more about flood control dams an emergency spillway 650 ft wide and 23 ft lower than the top of the dam is located at n 38 06729 w 83 31959 this is a safety measure that would prevent water from overtopping the dam i also hope that you will consider what the land above the dam was like before it was flooded imagine the licking river flowing through that area and fertile fields in the floodplains where farmers most often grew corn imagine all of the streams and rivulets draining rainwater from the land and into the river in a way all of that is still there a lot of it is just underwater now please email answers to the following questions to me to get credit for this earthcache the watershed directly around cave run lake primarily consists of what type of land what natural occurrence would have caused flooding in this area what type of land did the dam flood in order to provide flood control downstream how many river miles is it to the ohio river from the dam without proper controls a manmade dam could negatively impact the river downstream what two mechanisms does the dam incorporate to lessen its effect on temperature and turbulence downstream
GC7Z93W,37.22403,-80.01275,Type.traditional,a hazy picture at night a few feet from ground zero the first in the series of many to come originally called cave spring this cache was placed oct 20 2018 and on 111119 was coverted to be the first in this series very easy park and grab but still be careful of muggles although this is somewhat distanced from the store
GC1JVG5,37.69472,-85.84698,Type.earthcache,a spring is a point where groundwater flows out of the ground and is thus where the aquifer surface meets the ground surface dependent upon the constancy of the water source rainfall or snowmelt that infiltrates the earth a spring may be ephemeral intermittent or perennial continuous water issuing from an artesian spring rises to a higher elevation than the top of the confined aquifer from which it issues when water issues from the ground it may form into a pool or flow downhill in surface streams sometimes a spring is termed a seep minerals become dissolved in the water as it moves through the underground rocks this may give the water flavour and even carbon dioxide bubbles depending upon the nature of the geology through which it passes this is why spring water is often bottled and sold as mineral water although the term is often the subject of deceptive advertising springs that contain significant amounts of minerals are sometimes called mineral springs springs that contain large amounts of dissolved sodium salts mostly sodium carbonate are called soda springs many resorts have developed around mineral springs known as spa towns water emanating from karst topography is another type of spring often called a resurgence as much of the water may come from one or more sinkholes at a higher altitude karst springs generally are not subjected to as great a degree of ground filtering as spring water which may have continuously passed through soils or a porous aquifer the background of this spring this area is made up of layers of limestone with a overlay of sandstone we are just north of the mammoth cave area of kentucky and in this area in places the sandstone has cracks that allow surface water to work its way down to the limestone layer the ground water then exits the limestone to form the spring you see here back in this area before water line were run springs like this were the only water source cave spring was critical to the historic early town settlement this spring also supplied water to the pioneer haycraft fort and later to the civil war camp haycraft the spring still flows to log this earthcache email the answers to the following questions 1how tall and wide is the cave the spring comes out of 2how close is the creek from the mouth of the cave 3estimate how much water is flowing out of the spring per minute in addition to those answers please post a photo of yourself and gps with the spring in the background if you enjoyed this earthcache and would like to know about others check out the below website earthcache listing
GC16BA,38.9921,-94.48692,Type.virtual,this park is open daily from 900 am until sunset the nature center is open tuesday saturday there is a nice paved walking trail leading from the nature center located on one of the trails off the paved trail is a footbridge the posted coordinates is the location of the bridge the alpha spelling for the number of planks on the floor of the bridge is the password to claim your find after you have the password click here to claim your find nature center and trailhead n 38deg 59644 w 094deg 28995
GC44NMW,37.11425,-94.06377,Type.traditional,cave spring cemetery where more than 20 of those listed as casualties of the war are buried some of the graves do not have markers and association members have arranged for headstones from the department of veterans affairs take a moment to note all the different years on the grave markers in this country cemetery as usual please be mindful of where you are and respectful you are looking for a camo pill bottle outside the fence you donot need to cross the fence just reach thru
GC4N37Q,37.23397,-80.00855,Type.traditional,cave spring corners an area of high traffic finding this wee nano with require the stealth of a sly cacher a quick parkngrab cache is yours for the taking if you dont get backed in a corner by pesky muggles happy caching
GC1VWQX,38.9924,-94.48513,Type.earthcache,water is one of the earths more powerful landscapers you would be hard pressed to find a feature on earths surface that hasnt been shaped by water in some form or fashion yet it is also a remarkably subtle landscaper taking hundreds thousands even millions of years to produce many of the geologic features we see today waterfalls are a popular example of how water has shaped the earth varying in shape structure and magnitude they can create amazing scenic vistas while demonstrating how active our earth is in real time their formation alone is an example of the power of water waterfalls form when water flows over a ledge or step in the rock bed underneath the speed and amount of water as it reaches this point will affect the position and shape of the waterfall if the underlying rock is soft enough the waterfall will slowly recede over time if the underlying rock is hard recession may not occur without a large volume of water and sediment flowing over the edge ponds can form at the bottom of the waterfall if the rock layers at that point are soft as well the force of the water as it hits the bottom carves away the softer rock slowly creating what is called a plunge pool sediment and rocks moved around by the force of water will further carve away the underlying rock another feature that can form as a result of softer rock is an overhang this happens when the rock at the top of the waterfall is hard but it lies on top of a much softer rock as the water hits the water in the plunge pool some of the water will splash back against the wall slowly carving away the soft rock until an overhang develops if enough soft rock is worn away over time then the hard rock located above my begin to suffer enough stress that it eventually will break causing the waterfall to recede even further oftentimes you will find waterfalls surrounded by canyons or gorges when this is found it usually means that the waterfall has been active for a long time the canyon or gorge is formed as a result of the waterfall slowly receding during the course of its lifetime if you observe enough waterfalls youll begin to notice just how varied they can be and not just because of the amount of water or how tall they are there are different types of waterfalls determined by how the water flows through the system common waterfall classifications with pictures block water from a wide river or stream drops over a ledge forming what appears to be a sheet of water cascade water flows down a series of steps or stages cataract large powerful and water flows with a lot of force fan water falls through a relatively narrow crest and spreads out and becomes wider as it descends horsetail water descends down remaining in contact with the surface rock most of the time plunge water descends vertically without contact with the surface rock punchbowl water falls through a constricted area and descends down into a pool of water segmented pieces of land segment the river causing the water to split in separate sections as it descends tiered separate consecutive waterfalls in close proximity that are close enough that they are generally seen as one long waterfall multistep a series of waterfalls one after another of roughly the same size each with its own sunken plunge pool not to be confused with tiered which dont have separate plung pools it is not uncommon to find waterfalls that meet the descriptions of more than one classification in such instances a waterfall would be classified as both for example the last step of a cascade waterfall may include a plunge waterfall thus classifying it as a cascade plunge cave spring falls the waterfall in cave springs originally received water from three tributaries one was a former lake that has since disappeared due to the kansas city flood in the 1950s and local construction the following aerial photo was taken in 1931 the mentioned lake is seen in the lower left corner the current nature center would be in the lower right the road on the right site is nearby gregory blvd notice the perfectly round circles those are the greens of the old golf course formerly located here another source was the nearby cave located at n 38deg 59580 w 094deg 29039 this cave used to supply a considerable amount of water up until the 1940s when the construction of a nearby church resulted in the discovery and subsequent plugging of a nearby underground spring in 1928 it was reported that the cave spring pumped out about one million gallons of water a day the photo below shows water coming out of the cave in the 1930s a third source of water was another nearby creek this creek actually fed into the same source stream that traveled from the lake to the waterfall adding to the water in that stream both this stream and the stream from the nearby cave converged into the single stream the provides water for the waterfall to complete this earthcache to complete this earthcache you will need several supplies make sure to bring with you a camera measuring tape or yardstick a timer or watch with a seconds hand and a bucket or some other wide mouth item to measure water dont forget your gpsr send answers to s 1 and 2 to the cache owner post 3 with your cache log 1 using the above classifications identify what classification of waterfall this is 2 measure the amount of water flowing over the edge of the waterfall see instructions below this can be done in litershr litersday gallonshr or gallonsday make sure to specify what units of measure you are using optional 3 take a photo of yourself with the waterfall in the view consider stopping by the nearby cave which helps supply water to the waterfall note taking a photo is part of the original intended requirements with the amount of camera phones out there most people can get a quick photo the photos are helping in documenting the waterfall but if you are unable to obtain a photo or need help with getting the photo posted let me know in your email i wont delete your log over not having a photo but it can be cool to see how much variance the waterfall has in photos over the years instructions for measuring water flow the more accurate method for you to measure the water flow is to measure how long it takes to collect a measured amount of water this is easiest to do with a bucket before you go out to do this cache make sure you know how much water the bucket can hold if need be measure out a set amount of water and pour it into the bucket until close to full then mark the water level with a marker or tape when setting this up i marked off a bucket at the 4 liter point once you have the necessary supplies you have permission from the park manager to walk right up to the waterfall to make your measurements first get your timer ready when ready place the bucket under a point in the waterfall and time how long it takes to fill the bucket or reach whatever measurement mark you previously determined perform this test at least twice and average then record your times next measure the width of the bucket at the point you marked earlier record the width it is easy to get the wrong measurement for how wide the waterfall is at the point before the water starts to drop to keep measurements more accurate across all measurements i will provide my measurement which was 30 inches across now for some math a = the amount of water in the bucket my example was 4 liters b = the time it takes to fill the bucket with the amount of water in a c = the width of the bucket d = the amount of times b goes into 1 minute to calculate the amount of water multiply a times d divide 30 inches by c multiply these two numbers together to get the amount of water that flows over the waterfall in one minute 1 liter of water equals 26 gallons of water 1 gallon of water equals 379 liters of water park information park hours park open daily year round from 9am sunset nature center open tuesday friday 10 am 4 pm saturday by appointment a map of the site is posted in the bulletin board near the nature center maps to take with you can be found inside the nature center the waterfall is marked on the map please approach the waterfall from the west for the easiest approach check out the nature center to find some cool information about the history of cave springs including some important historical figures who have visited the cave springs area in the past measurements taken while completing this earthcache are being recorded for the park these measurements will be used to compare the current rate of flow with the known flow rate taken in the 1930s for comparison as such please try to submit the date and time you took your measurements the park manager informed me that he has seen the flow rate vary and is quite interested to see what numbers come out of this earthcache sources al maddox cave springs historic site and nature center world waterfalls waterfall types page geobytesgcse upper course of the river waterfallswaterfall formation image
GC22Y58,37.36365,-91.49595,Type.earthcache,congratulations to caches clay for ftf see rating system note below cave spring is located between salem and eminence missouri on the current river more accurately it lies between the akers and pulltite campgrounds at river mile 219 cave spring is owned by the lad foundation it is one of more than 20 areas which are protected on lands owned and managed by the foundation the current river is one of the rivers that make up the ozark scenic national riverways the first national park area to protect a wild river system you are able to paddle into the cave where the spring rises but should be aware that you will be in semi darkness and the spring water is very cold the ozarks is an area typified by what is called karst topography this means that the geologic structures underneath the earth are made of soluble limestone and dolomite water has been at work underground wearing away passages water filled ones we call springs and formerly waterfilled ones we call caves a karst landscape is one in which caves springs sinkholes and losing streams are found due to the porous nature of the ground and the movement of water underground over sometimes great distances groundwater in karst areas is particularly vulnerable to pollution the spring issuing from the cave has an average discharge of 32 million gallons per day and rises into the cave opening from a vertical shaft 140 feet deep all of the water is coming from a fairly extensive spring supply system with at least two large storage reservoirs nearby devils well and wallace well devils well is less than a mile north of the cave and has an underground lake with a surface area larger than a football field you can access this cache by walking the 46 mile footrail from devils well or by kayak and canoe while paddling the river bring a flashlight so that you will be able to see once you are inside the cave to log this cache you must 1 email me the estimated height and width of the cave opening optional items 1 email me the names of the any living beings that you see using the cave or spring as a home or obtaining foodnutrition from it 2 please post a picture of yourself at the cave if possible when you log the cache rating system note this caches rating will be different depending on what mode of travel you will be using difficulty rating paddling 5 hiking 12 terrain rating paddling 5 hiking 325
