GC,title,url,lat,lon,country,province/state,county,numfinds,numpage,,,
GCVAVE,La mine de cuivre de Fontainebleau,https://www.geocaching.com/geocache/GCVAVE_la-mine-de-cuivre-de-fontainebleau,N 45° 42.181,W 071° 22.396,Canada,Québec,Le Haut-Saint-François,57,3,,,
GCVBQ3,La mine Continental,https://www.geocaching.com/geocache/GCVBQ3_la-mine-continental,N 45° 59.101,W 071° 23.476,Canada,Québec,Les Appalaches,43,2,,,
GCVJ9A,La mine / The mine,https://www.geocaching.com/geocache/GCVJ9A_la-mine-the-mine,N 45° 28.117,W 075° 46.935,Canada,Québec,Les Collines-de-l'Outaouais,69,3,,,
GCVY31,Aktarus #02 - La Mine du Morne,https://www.geocaching.com/geocache/GCVY31_aktarus-02-la-mine-du-morne,N 45° 46.064,W 070° 54.774,Canada,Québec,Le Granit,6,1,,,
GCWB1Z,Mine d'Ardoise,https://www.geocaching.com/geocache/GCWB1Z_mine-dardoise,N 45° 34.003,W 072° 08.182,Canada,Québec,Le Val-Saint-François,94,4,,,
GCX92F,Valpin #41 - La mine,https://www.geocaching.com/geocache/GCX92F_valpin-41-la-mine,N 45° 29.377,W 075° 37.623,Canada,Québec,Gatineau,349,14,,,
GCY45B,Rfn08 - Mission impossible : La mine Bell,https://www.geocaching.com/geocache/GCY45B_rfn08-mission-impossible-la-mine-bell,N 46° 05.214,W 071° 18.673,Canada,Québec,Les Appalaches,68,3,,,
GCYMT5,CHIBOUGAMAU-3- MINE CAMPBELL N-10,https://www.geocaching.com/geocache/GCYMT5_chibougamau3-mine-campbell-n10,N 49° 52.865,W 074° 19.947,Canada,Québec,Nord-du-Québec,33,2,,,
GCYTDK,SP3M: La Mine du Grand-Père,https://www.geocaching.com/geocache/GCYTDK_sp3m-la-mine-du-grandpère,N 46° 00.195,W 071° 24.641,Canada,Québec,Les Appalaches,15,1,,,
GCYTDM,SP3M: La Mine Parent,https://www.geocaching.com/geocache/GCYTDM_sp3m-la-mine-parent,N 45° 59.969,W 071° 24.823,Canada,Québec,Les Appalaches,17,1,,,
GCYTDR,SP3M: La Mine Bennett Martin,https://www.geocaching.com/geocache/GCYTDR_sp3m-la-mine-bennett-martin,N 45° 59.342,W 071° 23.706,Canada,Québec,Les Appalaches,18,1,,,
GCYVQH,"DSC-02 ""OU TCHI MINE TRAIL""",https://www.geocaching.com/geocache/GCYVQH_dsc02-ou-tchi-mine-trail,N 45° 22.440,W 074° 04.632,Canada,Québec,Vaudreuil-Soulanges,5,1,,,
GC10280,Mine Ascot,https://www.geocaching.com/geocache/GC10280_mine-ascot,N 45° 24.652,W 071° 49.532,Canada,Québec,Sherbrooke,61,3,,,
GC12MEV,42 Megapay Lac de la mine,https://www.geocaching.com/geocache/GC12MEV_42-megapay-lac-de-la-mine,N 45° 59.385,W 074° 45.056,Canada,Québec,Les Laurentides,12,1,,,
GC13QY1,Mine Ascot 2/2,https://www.geocaching.com/geocache/GC13QY1_mine-ascot-22,N 45° 24.469,W 071° 49.018,Canada,Québec,Sherbrooke,23,1,,,
GC16TF5,GAG11 - Mine,https://www.geocaching.com/geocache/GC16TF5_gag11-mine,N 45° 28.478,W 075° 47.299,Canada,Québec,Les Collines-de-l'Outaouais,139,6,,,
GC177DN,Beaudry Mine,https://www.geocaching.com/geocache/GC177DN_beaudry-mine,N 48° 07.603,W 079° 10.628,Canada,Québec,Rouyn-Noranda,33,2,,,
GC17QXC,Mine de rien,https://www.geocaching.com/geocache/GC17QXC_mine-de-rien,N 48° 06.830,W 077° 48.550,Canada,Québec,La Vallée-de-l'Or,36,2,,,
GC1B9XP,chemin mine verte,https://www.geocaching.com/geocache/GC1B9XP_chemin-mine-verte,N 48° 13.858,W 078° 21.068,Canada,Québec,Rouyn-Noranda,74,3,,,
GC1EAXE,Mine et foret,https://www.geocaching.com/geocache/GC1EAXE_mine-et-foret,N 48° 06.656,W 077° 48.951,Canada,Québec,La Vallée-de-l'Or,73,3,,,
GC1HWAZ,Mine Jeffrey Asbestos,https://www.geocaching.com/geocache/GC1HWAZ_mine-jeffrey-asbestos,N 45° 46.173,W 071° 56.487,Canada,Québec,Les Sources,203,9,,,
GC1RXEE,La Mine à Michaud,https://www.geocaching.com/geocache/GC1RXEE_la-mine-à-michaud,N 45° 29.844,W 075° 36.956,Canada,Québec,Gatineau,154,7,,,
GC1RYC5,"*CCQ St-Vianney #8, la mine de silice",https://www.geocaching.com/geocache/GC1RYC5_ccq-stvianney-8-la-mine-de-silice,N 48° 37.519,W 067° 19.730,Canada,Québec,La Matapédia,40,2,,,
GC1VBD5,Mine,https://www.geocaching.com/geocache/GC1VBD5_mine,N 46° 49.107,W 071° 11.997,Canada,Québec,Québec,1296,52,,,
GC1VG6Z,Mine de Rien,https://www.geocaching.com/geocache/GC1VG6Z_mine-de-rien,N 45° 08.020,W 073° 38.792,Canada,Québec,Les Jardins-de-Napierville,95,4,,,
GC1W5FE,La Mine De Murdochville,https://www.geocaching.com/geocache/GC1W5FE_la-mine-de-murdochville,N 48° 56.986,W 065° 29.771,Canada,Québec,La Côte-de-Gaspé,20,1,,,
GC2018Q,La mine du rang Trompe-Souris,https://www.geocaching.com/geocache/GC2018Q_la-mine-du-rang-trompesouris,N 48° 23.838,W 071° 54.781,Canada,Québec,Lac-Saint-Jean-Est,51,3,,,
GC207D0,L'Abitibi je me Souviens: La Mine Hunter Shaft,https://www.geocaching.com/geocache/GC207D0_labitibi-je-me-souviens-la-mine-hunter-shaft,N 48° 33.049,W 079° 08.583,Canada,Québec,Abitibi-Ouest,22,1,,,
GC20WVZ,L'Abitibi je me souviens: La Mine Lyndhurst,https://www.geocaching.com/geocache/GC20WVZ_labitibi-je-me-souviens-la-mine-lyndhurst,N 48° 34.356,W 078° 57.613,Canada,Québec,Rouyn-Noranda,14,1,,,
GC21CK2,""""" MINE RICHMOND """"",https://www.geocaching.com/geocache/GC21CK2_-mine-richmond-,N 48° 12.433,W 079° 17.532,Canada,Québec,Rouyn-Noranda,40,2,,,
GC21F6N,""""" MINE ABCOURT """"",https://www.geocaching.com/geocache/GC21F6N_-mine-abcourt-,N 48° 16.800,W 079° 07.641,Canada,Québec,Rouyn-Noranda,53,3,,,
GC22WDE,La mine / The mine,https://www.geocaching.com/geocache/GC22WDE_la-mine-the-mine,N 45° 43.476,W 075° 26.593,Canada,Québec,Papineau,37,2,,,
GC2414Y,La mine d'or,https://www.geocaching.com/geocache/GC2414Y_la-mine-dor,N 46° 49.525,W 072° 20.859,Canada,Québec,Mékinac,88,4,,,
GC2EFHM,Mica Mine at Gatineau Park,https://www.geocaching.com/geocache/GC2EFHM_mica-mine-at-gatineau-park,N 45° 28.149,W 075° 48.336,Canada,Québec,Gatineau,201,9,,,
GC2Q4G1,Chris-2 La rivière de la mine,https://www.geocaching.com/geocache/GC2Q4G1_chris2-la-rivière-de-la-mine,N 48° 15.127,W 079° 01.492,Canada,Québec,Rouyn-Noranda,50,2,,,
GC2R2FQ,Lac de la Mine d'OR,https://www.geocaching.com/geocache/GC2R2FQ_lac-de-la-mine-dor,N 45° 44.564,W 075° 06.607,Canada,Québec,Papineau,78,4,,,
GC2RT85,Chris-3 Rivière de la mine (2),https://www.geocaching.com/geocache/GC2RT85_chris3-rivière-de-la-mine-2,N 48° 15.367,W 079° 01.519,Canada,Québec,Rouyn-Noranda,31,2,,,
GC2VY7W,J'ai la mine basse,https://www.geocaching.com/geocache/GC2VY7W_jai-la-mine-basse,N 46° 07.625,W 070° 40.193,Canada,Québec,Beauce-Sartigan,103,5,,,
GC2XXGW,Mine Jeffrey,https://www.geocaching.com/geocache/GC2XXGW_mine-jeffrey,N 45° 46.175,W 071° 56.489,Canada,Québec,Les Sources,71,3,,,
GC2Y6VA,"La Bicyclable #28, Vue sur la mine",https://www.geocaching.com/geocache/GC2Y6VA_la-bicyclable-28-vue-sur-la-mine,N 46° 08.449,W 071° 14.686,Canada,Québec,Les Appalaches,112,5,,,
GC3AY1M,Potton-De la mine 1,https://www.geocaching.com/geocache/GC3AY1M_pottonde-la-mine-1,N 45° 02.344,W 072° 27.709,Canada,Québec,Memphrémagog,38,2,,,
GC3AY20,Potton-De la mine 2,https://www.geocaching.com/geocache/GC3AY20_pottonde-la-mine-2,N 45° 01.686,W 072° 26.422,Canada,Québec,Memphrémagog,52,3,,,
GC3BG9D,Potton-De la mine 4,https://www.geocaching.com/geocache/GC3BG9D_pottonde-la-mine-4,N 45° 01.980,W 072° 26.868,Canada,Québec,Memphrémagog,52,3,,,
GC3BG9H,Potton-De la mine 3,https://www.geocaching.com/geocache/GC3BG9H_pottonde-la-mine-3,N 45° 01.607,W 072° 26.202,Canada,Québec,Memphrémagog,72,3,,,
GC3M3FG,La porte mine,https://www.geocaching.com/geocache/GC3M3FG_la-porte-mine,N 46° 22.989,W 072° 32.790,Canada,Québec,Francheville,45,2,,,
GC3X9YM,de la Vieille Mine,https://www.geocaching.com/geocache/GC3X9YM_de-la-vieille-mine,N 48° 19.173,W 078° 23.227,Canada,Québec,Abitibi,28,2,,,
GC4J5QE,Iamgold Mine Mouska,https://www.geocaching.com/geocache/GC4J5QE_iamgold-mine-mouska,N 48° 16.653,W 078° 34.108,Canada,Québec,Rouyn-Noranda,18,1,,,
GC4QYKA,Mine de Niobium !,https://www.geocaching.com/geocache/GC4QYKA_mine-de-niobium-,N 48° 32.723,W 071° 09.240,Canada,Québec,Le Saguenay-et-son-Fjord,29,2,,,
GC5C72R,La Mine de Cristal,https://www.geocaching.com/geocache/GC5C72R_la-mine-de-cristal,N 45° 26.602,W 072° 16.915,Canada,Québec,Le Val-Saint-François,67,3,,,
GC5DEXP,Bienvenue à la mine d'or,https://www.geocaching.com/geocache/GC5DEXP_bienvenue-à-la-mine-dor,N 45° 20.340,W 071° 12.462,Canada,Québec,Le Haut-Saint-François,51,3,,,
GC5YFWE,Chemin de la mine Marbridge,https://www.geocaching.com/geocache/GC5YFWE_chemin-de-la-mine-marbridge,N 48° 20.767,W 078° 11.674,Canada,Québec,Abitibi,21,1,,,
GC5YFXF,Ancienne mine Marbridge (site 1),https://www.geocaching.com/geocache/GC5YFXF_ancienne-mine-marbridge-site-1,N 48° 20.762,W 078° 11.499,Canada,Québec,Abitibi,18,1,,,
GC5YFZ1,Ancienne mine Marbrigde (site 2),https://www.geocaching.com/geocache/GC5YFZ1_ancienne-mine-marbrigde-site-2,N 48° 20.672,W 078° 10.771,Canada,Québec,Abitibi,14,1,,,
GC651NQ,Mine de Mica Blackburn Mica Mine,https://www.geocaching.com/geocache/GC651NQ_mine-de-mica-blackburn-mica-mine,N 45° 38.329,W 075° 36.510,Canada,Québec,Les Collines-de-l'Outaouais,13,1,,,
GC6GJVE,Danger Tir de mine LH12,https://www.geocaching.com/geocache/GC6GJVE_danger-tir-de-mine-lh12,N 45° 39.995,W 073° 37.857,Canada,Québec,Laval,44,2,,,
GC6HG7V,CETTE ARDOISE A BONNE MINE,https://www.geocaching.com/geocache/GC6HG7V_cette-ardoise-a-bonne-mine,N 45° 28.084,W 071° 57.852,Canada,Québec,Sherbrooke,64,3,,,
GC6P6TZ,"Sigma, une mine, une rue.",https://www.geocaching.com/geocache/GC6P6TZ_sigma-une-mine-une-rue,N 48° 05.938,W 077° 46.004,Canada,Québec,La Vallée-de-l'Or,16,1,,,
GC6Q1Q8,La cache qui a la mine basse...,https://www.geocaching.com/geocache/GC6Q1Q8_la-cache-qui-a-la-mine-basse,N 46° 46.783,W 071° 18.232,Canada,Québec,Québec,109,5,,,
GC6QG75,Mine Harricana,https://www.geocaching.com/geocache/GC6QG75_mine-harricana,N 48° 06.505,W 077° 47.132,Canada,Québec,La Vallée-de-l'Or,4,1,,,
GC7R0YM,MES COUP COEUR MD CH DE LA MINE,https://www.geocaching.com/geocache/GC7R0YM_mes-coup-coeur-md-ch-de-la-mine,N 46° 18.147,W 074° 12.240,Canada,Québec,Matawinie,17,1,,,
GC1FZ0C,Caverne Lusk / Lusk Cave,https://www.geocaching.com/geocache/GC1FZ0C_caverne-lusk-lusk-cave,N 45° 34.983,W 075° 58.962,Canada,Québec,Les Collines-de-l'Outaouais,104,5,,,
GC1XFM1,La Grotte / The Cave,https://www.geocaching.com/geocache/GC1XFM1_la-grotte-the-cave,N 48° 31.568,W 064° 14.050,Canada,Québec,Le Rocher-Percé,129,6,,,
GC2V11M,Stay away from the King's cave,https://www.geocaching.com/geocache/GC2V11M_stay-away-from-the-kings-cave,N 45° 28.966,W 075° 51.005,Canada,Québec,Gatineau,291,12,,,
GC5XKNQ,To the cave we go!,https://www.geocaching.com/geocache/GC5XKNQ_to-the-cave-we-go,N 45° 36.017,W 076° 00.500,Canada,Québec,Les Collines-de-l'Outaouais,7,1,,,
GC6B54,Icy Mountain Cave,https://www.geocaching.com/geocache/GC6B54_icy-mountain-cave,N 43° 34.702,W 074° 53.010,United States,New York,Herkimer County (NY),15,1,,,
GC94F6,Clark's Cave Cache,https://www.geocaching.com/geocache/GC94F6_clarks-cave-cache,N 43° 00.029,W 076° 05.951,United States,New York,Onondaga County (NY),51,3,,,
GC9C5A,The Cave,https://www.geocaching.com/geocache/GC9C5A_the-cave,N 41° 17.844,W 074° 03.943,United States,New York,Orange County (NY),232,10,,,
GCPWCJ,Past Ice Cave Valley,https://www.geocaching.com/geocache/GCPWCJ_past-ice-cave-valley,N 43° 33.777,W 074° 53.839,United States,New York,Herkimer County (NY),3,1,,,
GCRDR1,Old John's Cave,https://www.geocaching.com/geocache/GCRDR1_old-johns-cave,N 42° 11.485,W 074° 03.024,United States,New York,Greene County (NY),137,6,,,
GCRVM7,Biggers Cave?,https://www.geocaching.com/geocache/GCRVM7_biggers-cave,N 44° 12.489,W 075° 47.910,United States,New York,Jefferson County (NY),47,2,,,
GCVT1Y,Leatherman's Circuit - Bull's Hill Cave,https://www.geocaching.com/geocache/GCVT1Y_leathermans-circuit-bulls-hill-cave,N 41° 14.332,W 073° 42.103,United States,New York,Westchester County (NY),143,6,,,
GCVY2A,Leatherman's Circuit - Helicker's Cave,https://www.geocaching.com/geocache/GCVY2A_leathermans-circuit-helickers-cave,N 41° 07.155,W 073° 43.636,United States,New York,Westchester County (NY),121,5,,,
GCX39W,Burrough's Cave,https://www.geocaching.com/geocache/GCX39W_burroughs-cave,N 43° 50.330,W 074° 04.188,United States,New York,Essex County (NY),33,2,,,
GCYEGF,Bat Cave and Condo's,https://www.geocaching.com/geocache/GCYEGF_bat-cave-and-condos,N 40° 49.998,W 072° 54.958,United States,New York,Suffolk County (NY),90,4,,,
GCZFY3,Cooper's Cave,https://www.geocaching.com/geocache/GCZFY3_coopers-cave,N 43° 18.290,W 073° 38.447,United States,New York,Saratoga County (NY),502,21,,,
GC119NA,"Paleoman's ""Cave"" (So easy a Caveman can do it!)",https://www.geocaching.com/geocache/GC119NA_paleomans-cave-so-easy-a-caveman-can-do-it,N 42° 38.104,W 078° 03.049,United States,New York,Wyoming County (NY),296,12,,,
GC1307W,Auger Falls Cave,https://www.geocaching.com/geocache/GC1307W_auger-falls-cave,N 43° 28.037,W 074° 14.787,United States,New York,Hamilton County (NY),108,5,,,
GC153DH,French Louie's Cave,https://www.geocaching.com/geocache/GC153DH_french-louies-cave,N 43° 36.517,W 074° 34.489,United States,New York,Hamilton County (NY),1,1,,,
GC18ZAN,Howe Cave Earthcache,https://www.geocaching.com/geocache/GC18ZAN_howe-cave-earthcache,N 42° 41.742,W 074° 23.923,United States,New York,Schoharie County (NY),399,16,,,
GC1DWY3,Wrath of (Cave)Woman: Hear me Roar!,https://www.geocaching.com/geocache/GC1DWY3_wrath-of-cavewoman-hear-me-roar,N 42° 39.817,W 077° 50.130,United States,New York,Livingston County (NY),26,2,,,
GC1G45A,Miner's Cave,https://www.geocaching.com/geocache/GC1G45A_miners-cave,N 43° 31.168,W 074° 19.685,United States,New York,Hamilton County (NY),95,4,,,
GC1QB24,Old John's Cave No.2,https://www.geocaching.com/geocache/GC1QB24_old-johns-cave-no2,N 41° 44.334,W 074° 12.717,United States,New York,Ulster County (NY),2,1,,,
GC1ZXMG,Bat Cave,https://www.geocaching.com/geocache/GC1ZXMG_bat-cave,N 42° 32.725,W 077° 40.572,United States,New York,Livingston County (NY),14,1,,,
GC21JT8,Endangered: Berry Cave Salamander,https://www.geocaching.com/geocache/GC21JT8_endangered-berry-cave-salamander,N 42° 05.121,W 076° 04.660,United States,New York,Broome County (NY),14,1,,,
GC245T6,Small Cave,https://www.geocaching.com/geocache/GC245T6_small-cave,N 41° 30.282,W 074° 10.621,United States,New York,Orange County (NY),105,5,,,
GC24W43,Cave Swallow,https://www.geocaching.com/geocache/GC24W43_cave-swallow,N 41° 43.821,W 073° 45.172,United States,New York,Dutchess County (NY),102,5,,,
GC2T1FM,Rockcut Cave,https://www.geocaching.com/geocache/GC2T1FM_rockcut-cave,N 43° 00.264,W 076° 05.189,United States,New York,Onondaga County (NY),80,4,,,
GC34EHR,Bear Cave,https://www.geocaching.com/geocache/GC34EHR_bear-cave,N 44° 12.278,W 075° 11.733,United States,New York,St. Lawrence County (NY),14,1,,,
GC38EDQ,Echo Cave,https://www.geocaching.com/geocache/GC38EDQ_echo-cave,N 40° 49.442,W 073° 48.834,United States,New York,Bronx County (NY),18,1,,,
GC3A0R5,Oh mighty cave,https://www.geocaching.com/geocache/GC3A0R5_oh-mighty-cave,N 41° 28.983,W 074° 02.690,United States,New York,Orange County (NY),26,2,,,
GC3EX3F,Dino Cave,https://www.geocaching.com/geocache/GC3EX3F_dino-cave,N 42° 40.872,W 078° 22.536,United States,New York,Wyoming County (NY),78,4,,,
GC3N2MD,The Bat Cave,https://www.geocaching.com/geocache/GC3N2MD_the-bat-cave,N 41° 12.679,W 073° 49.666,United States,New York,Westchester County (NY),101,5,,,
GC3VXDT,The Bear's cave & Fox's den,https://www.geocaching.com/geocache/GC3VXDT_the-bears-cave-foxs-den,N 43° 18.719,W 075° 05.388,United States,New York,Herkimer County (NY),27,2,,,
GC3W6R7,CAVE - Flowstones,https://www.geocaching.com/geocache/GC3W6R7_cave-flowstones,N 42° 42.572,W 074° 23.509,United States,New York,Schoharie County (NY),31,2,,,
GC4HFBR,Cave Rock,https://www.geocaching.com/geocache/GC4HFBR_cave-rock,N 43° 52.538,W 074° 28.043,United States,New York,Hamilton County (NY),18,1,,,
GC4V8X0,Cabin Fever Meet and Greet in the Cave,https://www.geocaching.com/geocache/GC4V8X0_cabin-fever-meet-and-greet-in-the-cave,N 43° 19.060,W 073° 38.388,United States,New York,Warren County (NY),29,2,,,
GC52G56,Super Mushroom Cave,https://www.geocaching.com/geocache/GC52G56_super-mushroom-cave,N 43° 03.048,W 076° 12.990,United States,New York,Onondaga County (NY),59,3,,,
GC54RN6,Bear Cave,https://www.geocaching.com/geocache/GC54RN6_bear-cave,N 42° 25.800,W 074° 28.129,United States,New York,Schoharie County (NY),55,3,,,
GC5CRQM,"See The Cave, 10 Cents, 15 Cts Special Family Rate",https://www.geocaching.com/geocache/GC5CRQM_see-the-cave-10-cents-15-cts-special-family-rate,N 43° 32.706,W 073° 58.747,United States,New York,Warren County (NY),22,1,,,
GC5RT65,cave dweller,https://www.geocaching.com/geocache/GC5RT65_cave-dweller,N 43° 11.476,W 078° 03.944,United States,New York,Orleans County (NY),38,2,,,
GC6323B,Rock Cave,https://www.geocaching.com/geocache/GC6323B_rock-cave,N 43° 10.854,W 078° 42.180,United States,New York,Niagara County (NY),57,3,,,
GC65D06,Kaaterskill cave,https://www.geocaching.com/geocache/GC65D06_kaaterskill-cave,N 42° 09.616,W 074° 04.394,United States,New York,Greene County (NY),7,1,,,
GC6HERZ,MK#6 Bristleback Cave,https://www.geocaching.com/geocache/GC6HERZ_mk6-bristleback-cave,N 42° 26.087,W 074° 27.468,United States,New York,Schoharie County (NY),38,2,,,
GC6QF63,Bat Cave,https://www.geocaching.com/geocache/GC6QF63_bat-cave,N 42° 29.884,W 079° 19.178,United States,New York,Chautauqua County (NY),24,1,,,
GC6Z7J8,Cooper's Cave Cache,https://www.geocaching.com/geocache/GC6Z7J8_coopers-cave-cache,N 43° 18.290,W 073° 38.451,United States,New York,Saratoga County (NY),169,7,,,
GC79KBM,Blue Ledge Cave,https://www.geocaching.com/geocache/GC79KBM_blue-ledge-cave,N 43° 48.932,W 074° 08.323,United States,New York,Hamilton County (NY),1,1,,,
GC87P6W,Badman Cave Cache,https://www.geocaching.com/geocache/GC87P6W_badman-cave-cache,N 42° 12.832,W 074° 02.115,United States,New York,Greene County (NY),4,1,,,
GC2096,Gypsum Mine,https://www.geocaching.com/geocache/GC2096_gypsum-mine,N 43° 00.610,W 077° 47.709,United States,New York,Monroe County (NY),24,1,,,
GC2D07,Herbert Mine cache,https://www.geocaching.com/geocache/GC2D07_herbert-mine-cache,N 41° 17.056,W 074° 00.313,United States,New York,Rockland County (NY),76,4,,,
GC50EE,silver mine,https://www.geocaching.com/geocache/GC50EE_silver-mine,N 41° 17.662,W 074° 03.160,United States,New York,Orange County (NY),74,3,,,
GC72D8,Mine Is Yours,https://www.geocaching.com/geocache/GC72D8_mine-is-yours,N 41° 14.976,W 074° 06.801,United States,New York,Orange County (NY),118,5,,,
GCA5DC,Gypsum Mine II,https://www.geocaching.com/geocache/GCA5DC_gypsum-mine-ii,N 43° 00.543,W 077° 47.779,United States,New York,Monroe County (NY),493,20,,,
GCJ7X5,Hewitt Mine Cache,https://www.geocaching.com/geocache/GCJ7X5_hewitt-mine-cache,N 41° 09.118,W 074° 14.966,United States,New York,Orange County (NY),5,1,,,
GCJ9EY,Hogencamp Mine Cache,https://www.geocaching.com/geocache/GCJ9EY_hogencamp-mine-cache,N 41° 14.603,W 074° 07.235,United States,New York,Orange County (NY),163,7,,,
GCJANB,This Little Light of Mine,https://www.geocaching.com/geocache/GCJANB_this-little-light-of-mine,N 43° 15.154,W 077° 36.662,United States,New York,Monroe County (NY),52,3,,,
GCJY80,Surebridge Mine cache,https://www.geocaching.com/geocache/GCJY80_surebridge-mine-cache,N 41° 15.417,W 074° 07.222,United States,New York,Orange County (NY),77,4,,,
GCJY84,Greenwood Mine Cache,https://www.geocaching.com/geocache/GCJY84_greenwood-mine-cache,N 41° 15.895,W 074° 06.792,United States,New York,Orange County (NY),87,4,,,
GCK27H,Nickel Mine Cache,https://www.geocaching.com/geocache/GCK27H_nickel-mine-cache,N 41° 14.761,W 074° 03.775,United States,New York,Rockland County (NY),67,3,,,
GCKKFH,The Spanish Mine- or Captain Kidd's Treasure,https://www.geocaching.com/geocache/GCKKFH_the-spanish-mine-or-captain-kidds-treasure,N 41° 16.972,W 074° 02.520,United States,New York,Orange County (NY),70,3,,,
GCKY4D,"I'll Scratch Yours, You Scratch Mine",https://www.geocaching.com/geocache/GCKY4D_ill-scratch-yours-you-scratch-mine,N 42° 48.117,W 073° 50.856,United States,New York,Schenectady County (NY),24,1,,,
GCMDG7,Barnes Mine Cache,https://www.geocaching.com/geocache/GCMDG7_barnes-mine-cache,N 41° 13.520,W 074° 05.735,United States,New York,Rockland County (NY),152,7,,,
GCMGRV,Dater's Mine,https://www.geocaching.com/geocache/GCMGRV_daters-mine,N 41° 11.062,W 074° 10.515,United States,New York,Rockland County (NY),122,5,,,
GCMRPQ,S12:THIS LITTLE LIGHT OF MINE,https://www.geocaching.com/geocache/GCMRPQ_s12this-little-light-of-mine,N 40° 53.335,W 073° 06.561,United States,New York,Suffolk County (NY),25,1,,,
GCP7E3,Make Mine a Micro,https://www.geocaching.com/geocache/GCP7E3_make-mine-a-micro,N 42° 59.134,W 078° 11.017,United States,New York,Genesee County (NY),12,1,,,
GCPK6D,Make Mine an FLT,https://www.geocaching.com/geocache/GCPK6D_make-mine-an-flt,N 42° 31.530,W 075° 40.995,United States,New York,Chenango County (NY),74,3,,,
GCXHCK,It's Mine Not Yours,https://www.geocaching.com/geocache/GCXHCK_its-mine-not-yours,N 42° 25.772,W 074° 28.247,United States,New York,Schoharie County (NY),68,3,,,
GCZBG5,The Orc's Mine,https://www.geocaching.com/geocache/GCZBG5_the-orcs-mine,N 42° 32.313,W 076° 05.763,United States,New York,Cortland County (NY),29,2,,,
GC10D9B,Mine is Like Hers,https://www.geocaching.com/geocache/GC10D9B_mine-is-like-hers,N 43° 11.322,W 077° 30.575,United States,New York,Monroe County (NY),234,10,,,
GC12JK9,MINE!,https://www.geocaching.com/geocache/GC12JK9_mine,N 41° 57.404,W 073° 40.844,United States,New York,Dutchess County (NY),6,1,,,
GC17NXX,Snow White Diamond Mine Cache,https://www.geocaching.com/geocache/GC17NXX_snow-white-diamond-mine-cache,N 42° 04.503,W 075° 54.289,United States,New York,Broome County (NY),89,4,,,
GC1CKPN,Raintree Brick Mine,https://www.geocaching.com/geocache/GC1CKPN_raintree-brick-mine,N 43° 01.065,W 078° 50.406,United States,New York,Erie County (NY),125,5,,,
GC1CM6Z,Hyde Park Gold Mine,https://www.geocaching.com/geocache/GC1CM6Z_hyde-park-gold-mine,N 41° 45.717,W 073° 55.124,United States,New York,Dutchess County (NY),156,7,,,
GC1F0T1,Turf War: Myosotis is Mine!,https://www.geocaching.com/geocache/GC1F0T1_turf-war-myosotis-is-mine,N 42° 31.697,W 074° 09.435,United States,New York,Albany County (NY),23,1,,,
GC1PYQQ,Old Mine,https://www.geocaching.com/geocache/GC1PYQQ_old-mine,N 41° 24.753,W 073° 38.563,United States,New York,Putnam County (NY),225,9,,,
GC1VF99,NYS Quad Challenge - Widow Jane Mine,https://www.geocaching.com/geocache/GC1VF99_nys-quad-challenge-widow-jane-mine,N 41° 50.570,W 074° 05.904,United States,New York,Ulster County (NY),125,5,,,
GC285GC,I'll Keep It With Mine,https://www.geocaching.com/geocache/GC285GC_ill-keep-it-with-mine,N 40° 53.610,W 072° 48.688,United States,New York,Suffolk County (NY),35,2,,,
GC2DKDN,I'll Have Mine On The Rocks,https://www.geocaching.com/geocache/GC2DKDN_ill-have-mine-on-the-rocks,N 43° 11.676,W 078° 37.253,United States,New York,Niagara County (NY),122,5,,,
GC39BX5,Pine-A-Mine For Oxy,https://www.geocaching.com/geocache/GC39BX5_pineamine-for-oxy,N 43° 20.629,W 073° 49.552,United States,New York,Warren County (NY),12,1,,,
GC3HGHB,This Little Light Of Mine,https://www.geocaching.com/geocache/GC3HGHB_this-little-light-of-mine,N 41° 44.501,W 074° 22.525,United States,New York,Ulster County (NY),114,5,,,
GC3WKM8,This little light of mine,https://www.geocaching.com/geocache/GC3WKM8_this-little-light-of-mine,N 40° 46.870,W 073° 57.010,United States,New York,New York County (NY),42,2,,,
GC4AMNC,Thacher State Park to Mine Kill State Park #2,https://www.geocaching.com/geocache/GC4AMNC_thacher-state-park-to-mine-kill-state-park-2,N 42° 39.613,W 074° 02.500,United States,New York,Albany County (NY),120,5,,,
GC4AMNT,Thacher State Park to Mine Kill State Park #5,https://www.geocaching.com/geocache/GC4AMNT_thacher-state-park-to-mine-kill-state-park-5,N 42° 35.852,W 074° 00.100,United States,New York,Albany County (NY),85,4,,,
GC4ANNF,Thacher State Park to Mine Kill State Park #3,https://www.geocaching.com/geocache/GC4ANNF_thacher-state-park-to-mine-kill-state-park-3,N 42° 39.274,W 074° 01.661,United States,New York,Albany County (NY),74,3,,,
GC4AZJ2,Thacher State Park to Mine Kill State Park #1,https://www.geocaching.com/geocache/GC4AZJ2_thacher-state-park-to-mine-kill-state-park-1,N 42° 41.001,W 074° 03.436,United States,New York,Albany County (NY),95,4,,,
GC4AZM5,Thacher State Park to Mine Kill State Park #6,https://www.geocaching.com/geocache/GC4AZM5_thacher-state-park-to-mine-kill-state-park-6,N 42° 35.395,W 074° 21.071,United States,New York,Schoharie County (NY),124,5,,,
